,Rank,Year,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom (Life Choices),Trust (Government Corruption),Donations to Charity
0,1,2018,Finland,Western Europe,7.632,1.305,1.592,0.874,0.681,0.393,0.202
1,2,2018,Norway,Western Europe,7.594,1.456,1.582,0.861,0.686,0.34,0.286
2,3,2018,Denmark,Western Europe,7.555,1.351,1.59,0.868,0.683,0.408,0.284
3,4,2018,Iceland,Western Europe,7.495,1.343,1.644,0.914,0.677,0.138,0.353
4,5,2018,Switzerland,Western Europe,7.487,1.42,1.549,0.927,0.66,0.357,0.256
5,6,2018,Netherlands,Western Europe,7.441,1.361,1.488,0.878,0.638,0.295,0.333
6,7,2018,Canada,North America,7.328,1.33,1.532,0.896,0.653,0.291,0.321
7,8,2018,New Zealand,Australia and New Zealand,7.324,1.268,1.601,0.876,0.669,0.389,0.365
8,9,2018,Sweden,Western Europe,7.314,1.355,1.501,0.913,0.659,0.383,0.285
9,10,2018,Australia,Australia and New Zealand,7.272,1.34,1.573,0.91,0.647,0.302,0.361
10,11,2018,United Kingdom,Western Europe,7.19,1.244,1.433,0.888,0.464,0.082,0.262
11,12,2018,Austria,Western Europe,7.139,1.341,1.504,0.891,0.617,0.224,0.242
12,13,2018,Costa Rica,Latin America and Caribbean,7.072,1.01,1.459,0.817,0.632,0.101,0.143
13,14,2018,Ireland,Western Europe,6.977,1.448,1.583,0.876,0.614,0.306,0.307
14,15,2018,Germany,Western Europe,6.965,1.34,1.474,0.861,0.586,0.28,0.273
15,16,2018,Belgium,Western Europe,6.927,1.324,1.483,0.894,0.583,0.24,0.188
16,17,2018,Luxembourg,Western Europe,6.91,1.576,1.52,0.896,0.632,0.321,0.196
17,18,2018,United States,North America,6.886,1.398,1.471,0.819,0.547,0.133,0.291
18,19,2018,Israel,Middle East and Northern Africa,6.814,1.301,1.559,0.883,0.533,0.272,0.354
20,21,2018,Czech Republic,Central and Eastern Europe,6.711,1.233,1.489,0.854,0.543,0.034,0.064
21,22,2018,Malta,Western Europe,6.627,1.27,1.525,0.884,0.645,0.142,0.376
