,Rank,Year,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom (Life Choices),Trust (Government Corruption),Donations to Charity
0,1,2019,Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.393,0.153
1,2,2019,Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.41,0.252
2,3,2019,Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.341,0.271
3,4,2019,Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.118,0.354
4,5,2019,Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.298,0.322
5,6,2019,Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.343,0.263
6,7,2019,Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.373,0.267
7,8,2019,New Zealand,Australia and New Zealand,7.307,1.303,1.557,1.026,0.585,0.38,0.33
8,9,2019,Canada,North America,7.278,1.365,1.505,1.039,0.584,0.308,0.285
9,10,2019,Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.226,0.244
10,11,2019,Australia,Australia and New Zealand,7.228,1.372,1.548,1.036,0.557,0.29,0.332
11,12,2019,Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.093,0.144
12,13,2019,Israel,Middle East and Northern Africa,7.139,1.276,1.455,1.029,0.371,0.082,0.261
13,14,2019,Luxembourg,Western Europe,7.09,1.609,1.479,1.012,0.526,0.316,0.194
14,15,2019,United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.278,0.348
15,16,2019,Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.31,0.298
16,17,2019,Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.265,0.261
17,18,2019,Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.21,0.16
18,19,2019,United States,North America,6.892,1.433,1.457,0.874,0.454,0.128,0.28
19,20,2019,Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.036,0.046
20,21,2019,United Arab Emirates,Middle East and Northern Africa,6.825,1.503,1.31,0.825,0.598,0.182,0.262
21,22,2019,Malta,Western Europe,6.726,1.3,1.52,0.999,0.564,0.151,0.375
22,23,2019,Mexico,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.073,0.074
23,24,2019,France,Western Europe,6.592,1.324,1.472,1.045,0.436,0.183,0.111
24,25,2019,Taiwan,Eastern Asia,6.446,1.368,1.43,0.914,0.351,0.097,0.242
25,26,2019,Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.056,0.187
26,27,2019,Guatemala,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.078,0.175
27,28,2019,Saudi Arabia,Middle East and Northern Africa,6.375,1.403,1.357,0.795,0.439,0.132,0.08
28,29,2019,Qatar,Middle East and Northern Africa,6.374,1.684,1.313,0.871,0.555,0.167,0.22
29,30,2019,Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.079,0.153
30,31,2019,Panama,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.054,0.109
31,32,2019,Brazil,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.086,0.099
32,33,2019,Uruguay,Latin America and Caribbean,6.293,1.124,1.465,0.891,0.523,0.15,0.127
33,34,2019,Singapore,Southeastern Asia,6.262,1.572,1.463,1.141,0.556,0.453,0.271
34,35,2019,El Salvador,Latin America and Caribbean,6.253,0.794,1.242,0.789,0.43,0.074,0.093
35,36,2019,Italy,Western Europe,6.223,1.294,1.488,1.039,0.231,0.03,0.158
36,37,2019,Bahrain,Middle East and Northern Africa,6.199,1.362,1.368,0.871,0.536,0.11,0.255
37,38,2019,Slovakia,Central and Eastern Europe,6.198,1.246,1.504,0.881,0.334,0.014,0.121
38,39,2019,Trinidad and Tobago,Latin America and Caribbean,6.192,1.231,1.477,0.713,0.489,0.016,0.185
39,40,2019,Poland,Central and Eastern Europe,6.182,1.206,1.438,0.884,0.483,0.05,0.117
40,41,2019,Uzbekistan,Central and Eastern Europe,6.174,0.745,1.529,0.756,0.631,0.24,0.322
41,42,2019,Lithuania,Central and Eastern Europe,6.149,1.238,1.515,0.818,0.291,0.042,0.043
42,43,2019,Colombia,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.034,0.099
43,44,2019,Slovenia,Central and Eastern Europe,6.118,1.258,1.523,0.953,0.564,0.057,0.144
44,45,2019,Nicaragua,Latin America and Caribbean,6.105,0.694,1.325,0.835,0.435,0.127,0.2
45,46,2019,Kosovo,Central and Eastern Europe,6.1,0.882,1.232,0.758,0.489,0.006,0.262
46,47,2019,Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.05,0.066
47,48,2019,Romania,Central and Eastern Europe,6.07,1.162,1.232,0.825,0.462,0.005,0.083
48,49,2019,Cyprus,Western Europe,6.046,1.263,1.223,1.042,0.406,0.041,0.19
49,50,2019,Ecuador,Latin America and Caribbean,6.028,0.912,1.312,0.868,0.498,0.087,0.126
50,51,2019,Kuwait,Middle East and Northern Africa,6.021,1.5,1.319,0.808,0.493,0.097,0.142
51,52,2019,Thailand,Southeastern Asia,6.008,1.05,1.409,0.828,0.557,0.028,0.359
52,53,2019,Latvia,Central and Eastern Europe,5.94,1.187,1.465,0.812,0.264,0.064,0.075
53,54,2019,South Korea,Eastern Asia,5.895,1.301,1.219,1.036,0.159,0.056,0.175
54,55,2019,Estonia,Central and Eastern Europe,5.893,1.237,1.528,0.874,0.495,0.161,0.103
55,56,2019,Jamaica,Latin America and Caribbean,5.89,0.831,1.478,0.831,0.49,0.028,0.107
56,57,2019,Mauritius,Sub-Saharan Africa,5.888,1.12,1.402,0.798,0.498,0.06,0.215
57,58,2019,Japan,Eastern Asia,5.886,1.327,1.419,1.088,0.445,0.14,0.069
58,59,2019,Honduras,Latin America and Caribbean,5.86,0.642,1.236,0.828,0.507,0.078,0.246
59,60,2019,Kazakhstan,Central and Eastern Europe,5.809,1.173,1.508,0.729,0.41,0.096,0.146
60,61,2019,Bolivia,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.064,0.137
61,62,2019,Hungary,Central and Eastern Europe,5.758,1.201,1.41,0.828,0.199,0.02,0.081
62,63,2019,Paraguay,Latin America and Caribbean,5.743,0.855,1.475,0.777,0.514,0.08,0.184
63,64,2019,North Cyprus,Western Europe,5.718,1.263,1.252,1.042,0.417,0.162,0.191
64,65,2019,Peru,Latin America and Caribbean,5.697,0.96,1.274,0.854,0.455,0.027,0.083
65,66,2019,Portugal,Western Europe,5.693,1.221,1.431,0.999,0.508,0.025,0.047
66,67,2019,Pakistan,Southern Asia,5.653,0.677,0.886,0.535,0.313,0.098,0.22
67,68,2019,Russia,Central and Eastern Europe,5.648,1.183,1.452,0.726,0.334,0.031,0.082
68,69,2019,Philippines,Southeastern Asia,5.631,0.807,1.293,0.657,0.558,0.107,0.117
69,70,2019,Serbia,Central and Eastern Europe,5.603,1.004,1.383,0.854,0.282,0.039,0.137
70,71,2019,Moldova,Central and Eastern Europe,5.529,0.685,1.328,0.739,0.245,0.0,0.181
71,72,2019,Libya,Middle East and Northern Africa,5.525,1.044,1.303,0.673,0.416,0.152,0.133
72,73,2019,Montenegro,Central and Eastern Europe,5.523,1.051,1.361,0.871,0.197,0.08,0.142
73,74,2019,Tajikistan,Central and Eastern Europe,5.467,0.493,1.098,0.718,0.389,0.144,0.23
74,75,2019,Croatia,Central and Eastern Europe,5.432,1.155,1.266,0.914,0.296,0.022,0.119
75,76,2019,Hong Kong,Eastern Asia,5.43,1.438,1.277,1.122,0.44,0.287,0.258
76,77,2019,Dominican Republic,Latin America and Caribbean,5.425,1.015,1.401,0.779,0.497,0.101,0.113
77,78,2019,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.006,0.263
78,79,2019,Turkey,Middle East and Northern Africa,5.373,1.183,1.36,0.808,0.195,0.106,0.083
79,80,2019,Malaysia,Southeastern Asia,5.339,1.221,1.171,0.828,0.508,0.024,0.26
80,81,2019,Belarus,Central and Eastern Europe,5.323,1.067,1.465,0.789,0.235,0.142,0.094
81,82,2019,Greece,Western Europe,5.287,1.181,1.156,0.999,0.067,0.034,0.0
82,83,2019,Mongolia,Eastern Asia,5.285,0.948,1.531,0.667,0.317,0.038,0.235
83,84,2019,Macedonia,Central and Eastern Europe,5.274,0.983,1.294,0.838,0.345,0.034,0.185
84,85,2019,Nigeria,Sub-Saharan Africa,5.265,0.696,1.111,0.245,0.426,0.041,0.215
85,86,2019,Kyrgyzstan,Central and Eastern Europe,5.261,0.551,1.438,0.723,0.508,0.023,0.3
86,87,2019,Turkmenistan,Central and Eastern Europe,5.247,1.052,1.538,0.657,0.394,0.028,0.244
87,88,2019,Algeria,Middle East and Northern Africa,5.211,1.002,1.16,0.785,0.086,0.114,0.073
88,89,2019,Morocco,Middle East and Northern Africa,5.208,0.801,0.782,0.782,0.418,0.076,0.036
89,90,2019,Azerbaijan,Central and Eastern Europe,5.208,1.043,1.147,0.769,0.351,0.182,0.035
90,91,2019,Lebanon,Middle East and Northern Africa,5.197,0.987,1.224,0.815,0.216,0.027,0.166
