,Rank,Year,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom (Life Choices),Trust (Government Corruption),Donations to Charity
0,1,2022,Finland,Western Europe,7.804,1.888,1.585,0.535,0.772,0.535,0.126
1,2,2022,Denmark,Western Europe,7.586,1.949,1.548,0.537,0.734,0.525,0.208
2,3,2022,Iceland,Western Europe,7.53,1.926,1.62,0.559,0.738,0.187,0.25
3,4,2022,Israel,Middle East and Northern Africa,7.473,1.833,1.521,0.577,0.569,0.158,0.124
4,5,2022,Netherlands,Western Europe,7.403,1.942,1.488,0.545,0.672,0.394,0.251
5,6,2022,Sweden,Western Europe,7.395,1.921,1.51,0.562,0.754,0.52,0.225
6,7,2022,Norway,Western Europe,7.315,1.994,1.521,0.544,0.752,0.463,0.212
7,8,2022,Switzerland,Western Europe,7.24,2.022,1.463,0.582,0.678,0.475,0.151
8,9,2022,Luxembourg,Western Europe,7.228,2.2,1.357,0.549,0.71,0.418,0.149
9,10,2022,New Zealand,Australia and New Zealand,7.123,1.842,1.544,0.513,0.672,0.471,0.23
10,11,2022,Austria,Western Europe,7.097,1.927,1.382,0.535,0.63,0.31,0.191
11,12,2022,Australia,Australia and New Zealand,7.095,1.899,1.497,0.532,0.677,0.31,0.242
12,13,2022,Canada,North America,6.961,1.881,1.484,0.541,0.656,0.364,0.218
13,14,2022,Ireland,Western Europe,6.911,2.152,1.425,0.539,0.656,0.409,0.186
14,15,2022,United States,North America,6.894,1.98,1.46,0.39,0.557,0.172,0.21
15,16,2022,Germany,Western Europe,6.892,1.919,1.401,0.539,0.618,0.365,0.153
16,17,2022,Belgium,Western Europe,6.859,1.907,1.449,0.528,0.59,0.273,0.137
18,19,2022,United Kingdom,Western Europe,6.796,1.857,1.366,0.511,0.626,0.34,0.272
19,20,2022,Lithuania,Central and Eastern Europe,6.763,1.808,1.511,0.432,0.487,0.089,0.059
20,21,2022,France,Western Europe,6.661,1.856,1.433,0.566,0.582,0.27,0.083
21,22,2022,Slovenia,Central and Eastern Europe,6.65,1.815,1.539,0.532,0.707,0.113,0.144
22,23,2022,Costa Rica,Latin America and Caribbean,6.609,1.587,1.34,0.503,0.683,0.116,0.099
23,24,2022,Romania,Central and Eastern Europe,6.589,1.726,1.28,0.423,0.631,0.0,0.044
24,25,2022,Singapore,Southeastern Asia,6.587,2.168,1.354,0.607,0.66,0.561,0.17
25,26,2022,United Arab Emirates,Middle East and Northern Africa,6.571,2.015,1.223,0.401,0.745,0.247,0.188
27,28,2022,Uruguay,Latin America and Caribbean,6.494,1.617,1.445,0.435,0.683,0.254,0.102
28,29,2022,Slovakia,Central and Eastern Europe,6.469,1.731,1.544,0.472,0.494,0.022,0.128
29,30,2022,Saudi Arabia,Middle East and Northern Africa,6.463,1.861,1.37,0.351,0.682,0.17,0.093
30,31,2022,Estonia,Central and Eastern Europe,6.455,1.798,1.526,0.494,0.728,0.372,0.153
31,32,2022,Spain,Western Europe,6.436,1.798,1.491,0.567,0.533,0.157,0.101
32,33,2022,Italy,Western Europe,6.405,1.832,1.365,0.559,0.438,0.063,0.097
33,34,2022,Kosovo,Central and Eastern Europe,6.368,1.374,1.269,0.372,0.639,0.045,0.275
34,35,2022,Chile,Latin America and Caribbean,6.334,1.645,1.384,0.511,0.546,0.076,0.131
35,36,2022,Mexico,Latin America and Caribbean,6.33,1.55,1.169,0.389,0.632,0.115,0.086
36,37,2022,Malta,Western Europe,6.3,1.841,1.468,0.547,0.671,0.143,0.2
37,38,2022,Panama,Latin America and Caribbean,6.265,1.714,1.402,0.475,0.63,0.036,0.065
38,39,2022,Poland,Central and Eastern Europe,6.26,1.767,1.474,0.477,0.511,0.139,0.12
39,40,2022,Nicaragua,Latin America and Caribbean,6.259,1.109,1.292,0.385,0.66,0.218,0.148
40,41,2022,Latvia,Central and Eastern Europe,6.213,1.737,1.505,0.405,0.58,0.071,0.107
41,42,2022,Bahrain,Middle East and Northern Africa,6.173,1.883,1.269,0.389,0.748,0.138,0.199
42,43,2022,Guatemala,Latin America and Caribbean,6.15,1.287,1.188,0.31,0.631,0.066,0.106
43,44,2022,Kazakhstan,Central and Eastern Europe,6.144,1.664,1.491,0.389,0.628,0.149,0.136
44,45,2022,Serbia,Central and Eastern Europe,6.144,1.552,1.343,0.424,0.617,0.081,0.246
45,46,2022,Cyprus,Western Europe,6.13,1.824,1.224,0.58,0.455,0.05,0.104
46,47,2022,Japan,Eastern Asia,6.129,1.825,1.396,0.622,0.556,0.207,0.009
47,48,2022,Croatia,Central and Eastern Europe,6.125,1.727,1.455,0.475,0.5,0.003,0.087
48,49,2022,Brazil,Latin America and Caribbean,6.125,1.454,1.25,0.387,0.558,0.137,0.131
49,50,2022,El Salvador,Latin America and Caribbean,6.122,1.278,1.044,0.383,0.713,0.222,0.079
50,51,2022,Hungary,Central and Eastern Europe,6.041,1.754,1.519,0.435,0.501,0.065,0.105
51,52,2022,Argentina,Latin America and Caribbean,6.024,1.59,1.388,0.427,0.587,0.082,0.088
52,53,2022,Honduras,Latin America and Caribbean,6.023,1.115,1.072,0.341,0.613,0.062,0.189
53,54,2022,Uzbekistan,Central and Eastern Europe,6.014,1.227,1.347,0.375,0.74,0.208,0.26
54,55,2022,Malaysia,Southeastern Asia,6.012,1.665,1.155,0.385,0.659,0.122,0.222
55,56,2022,Portugal,Western Europe,5.968,1.758,1.356,0.537,0.693,0.037,0.031
56,57,2022,South Korea,Eastern Asia,5.951,1.853,1.188,0.603,0.446,0.163,0.112
57,58,2022,Greece,Western Europe,5.931,1.708,1.247,0.535,0.248,0.097,0.008
58,59,2022,Mauritius,Sub-Saharan Africa,5.902,1.589,1.382,0.336,0.574,0.11,0.121
59,60,2022,Thailand,Southeastern Asia,5.843,1.515,1.344,0.461,0.624,0.013,0.291
60,61,2022,Mongolia,Eastern Asia,5.84,1.379,1.494,0.244,0.425,0.058,0.239
61,62,2022,Kyrgyzstan,Central and Eastern Europe,5.825,1.061,1.439,0.417,0.735,0.018,0.234
62,63,2022,Moldova,Central and Eastern Europe,5.819,1.425,1.302,0.375,0.61,0.02,0.093
63,64,2022,China,Eastern Asia,5.818,1.51,1.249,0.468,0.666,0.145,0.115
